search_count,view_count,wishlist_count,cart_item_count,order_count,avg_order_value,total_spent,promo_keyword_count,membership_points,preferred_genre_count,persona,price_sensitivity,next_best_action,purchase_intent
6,8,5,1,12,228743.5274401158,2459544.5485271206,0,288,0,loyal_member,medium,reengage_catalog,0.9777
7,14,6,4,4,244757.13301625865,1019862.6787619746,5,70,2,high_intent_buyer,high,bundle_related_products,0.99
9,2,5,4,0,153321.22606334294,0.0,1,0,0,high_intent_buyer,medium,bundle_related_products,0.9822
6,19,4,3,5,188683.30203905958,950490.4906919695,0,104,2,high_intent_buyer,medium,bundle_related_products,0.9566
2,5,5,0,6,208117.1998001144,1311305.5443900041,4,239,4,loyal_member,high,reengage_catalog,0.99
0,11,1,1,12,212140.2263795803,2410475.4640798992,6,250,2,loyal_member,high,reengage_catalog,0.99
9,13,4,4,11,197727.42389078555,1975928.722180902,3,189,2,loyal_member,high,reengage_catalog,0.99
11,0,0,4,5,147282.3242224164,635921.0477160222,3,122,4,high_intent_buyer,high,bundle_related_products,0.9776
1,13,3,0,5,148531.73818740234,972703.0013236457,6,188,4,high_intent_buyer,high,bundle_related_products,0.99
2,4,2,2,13,216601.04706171682,2820760.37628755,5,338,2,loyal_member,high,reengage_catalog,0.99
7,14,4,4,14,157972.05793095572,2150839.769146997,3,299,4,loyal_member,high,reengage_catalog,0.9642
6,1,0,1,6,161523.34262279188,1273949.6899870664,5,237,1,loyal_member,high,reengage_catalog,0.99
11,17,5,2,9,369836.95236521447,3464738.2632620963,2,414,2,loyal_member,low,reengage_catalog,0.99
6,18,4,2,1,156709.7073274134,201281.8536493024,1,68,0,high_intent_buyer,medium,bundle_related_products,0.99
3,13,0,2,0,95988.93190933346,0.0,6,0,3,deal_hunter,high,push_coupon,0.5924
4,5,3,1,14,197618.09381750925,2673073.4518558495,1,326,1,loyal_member,medium,reengage_catalog,0.99
0,9,0,5,3,60942.95606784492,0.0,4,0,1,deal_hunter,high,push_coupon,0.9627
3,15,2,5,11,257120.72854165648,2650551.229811412,6,307,4,loyal_member,high,reengage_catalog,0.9562
4,2,7,1,3,45000.0,0.0,3,38,3,deal_hunter,high,push_coupon,0.8806
6,3,0,1,6,237713.6785798874,1318119.3025703055,1,167,3,loyal_member,medium,reengage_catalog,0.99
10,7,6,2,1,146890.6630545008,401014.84019838274,5,66,4,deal_hunter,high,push_coupon,0.99
2,17,5,0,5,115806.51398246776,458751.6342621788,1,81,2,high_intent_buyer,high,bundle_related_products,0.99
2,4,7,4,2,238996.59661098098,562699.3383620775,5,105,1,high_intent_buyer,high,bundle_related_products,0.9178
3,3,0,5,1,123570.29294417944,96985.03823222226,6,0,2,deal_hunter,high,push_coupon,0.7537
4,10,6,2,5,175330.91742398392,948386.4376756251,0,52,2,high_intent_buyer,medium,bundle_related_products,0.99
1,3,2,3,14,215166.77916714086,3162781.222721346,1,375,0,loyal_member,medium,reengage_catalog,0.99
0,6,7,3,1,170914.7536326411,114003.02314127557,3,39,0,deal_hunter,high,push_coupon,0.8465
1,16,6,4,5,199847.27305175413,1075641.059221458,3,163,1,high_intent_buyer,high,bundle_related_products,0.9714
11,6,0,4,9,194894.40807530095,1819335.4609787113,4,279,1,loyal_member,high,reengage_catalog,0.99
6,8,2,3,11,129939.2091289139,1388398.1690035213,0,233,0,loyal_member,medium,reengage_catalog,0.99
9,2,3,0,11,217271.71101233913,2488679.093086095,4,334,1,loyal_member,high,reengage_catalog,0.9568
8,9,2,3,9,219409.69901607075,2048826.4601098667,4,260,1,loyal_member,high,reengage_catalog,0.99
1,13,7,5,8,112765.1996050088,955088.0216394617,0,158,3,high_intent_buyer,high,bundle_related_products,0.99
5,10,6,3,2,241360.09808708265,769819.4049102227,2,133,3,high_intent_buyer,medium,bundle_related_products,0.99
10,11,1,4,8,197192.03033513494,1709336.7437812686,3,163,3,loyal_member,high,reengage_catalog,0.9708
8,8,3,2,3,183711.54872775858,658347.3249356261,0,23,3,high_intent_buyer,medium,bundle_related_products,0.99
3,0,7,1,12,182459.03909336962,1924693.214210806,1,280,1,loyal_member,medium,reengage_catalog,0.9578
2,2,6,1,11,239083.60810153635,2684299.7469077324,0,401,4,loyal_member,medium,reengage_catalog,0.99
11,10,4,4,11,85088.44645307893,941742.4992715154,6,86,3,high_intent_buyer,high,bundle_related_products,0.99
8,19,4,2,6,206683.86119001557,1155636.345168203,4,176,4,high_intent_buyer,high,bundle_related_products,0.99
4,8,1,5,12,157486.45005780482,2045660.461208442,5,287,2,loyal_member,high,reengage_catalog,0.99
9,6,6,1,6,209842.6954810578,1106156.1461021232,6,207,4,high_intent_buyer,high,bundle_related_products,0.9493
11,15,1,4,1,79247.6389463798,314769.9695848011,3,55,3,deal_hunter,high,push_coupon,0.99
3,5,3,3,5,254972.75998016022,1201828.4168248456,2,116,4,loyal_member,medium,reengage_catalog,0.9732
4,0,0,2,6,259481.92763095937,1544514.5770144197,5,224,3,loyal_member,high,reengage_catalog,0.9397
1,7,3,5,4,182473.23253600244,940935.0417826332,1,101,3,high_intent_buyer,medium,bundle_related_products,0.9757
3,19,5,0,14,243792.69484493838,3423004.3652179306,0,423,4,loyal_member,medium,reengage_catalog,0.9836
5,2,5,4,8,174781.49504528576,1302877.7364172994,1,120,2,loyal_member,medium,reengage_catalog,0.99
9,13,0,5,0,146310.68637467973,252669.6804770611,6,60,3,deal_hunter,high,push_coupon,0.99
3,6,2,2,2,192909.08758911857,468963.86691367754,2,100,1,high_intent_buyer,medium,bundle_related_products,0.9751
8,16,7,4,14,266212.10894818086,3964953.25162427,2,529,4,loyal_member,medium,upsell_membership,0.9539
2,17,2,0,8,252352.4263316186,1961016.1426523975,6,214,2,loyal_member,high,reengage_catalog,0.9575
6,1,1,0,1,142029.3850803831,112561.26563794764,3,0,3,deal_hunter,high,push_coupon,0.2701
4,3,0,0,0,100818.59564112875,0.0,6,0,4,new_explorer,high,recommend_entry_products,0.1022
5,7,4,4,8,192047.5310031867,1522172.8163914937,1,196,3,loyal_member,medium,reengage_catalog,0.99
3,7,3,1,9,195799.03350656628,1872608.0095213384,1,275,0,loyal_member,medium,reengage_catalog,0.984
1,3,0,4,0,202946.16648677626,43623.242149140606,2,83,3,new_explorer,medium,recommend_entry_products,0.7254
11,7,1,5,14,85202.03293029525,965998.9937986024,6,138,1,high_intent_buyer,high,bundle_related_products,0.9851
11,5,2,4,0,102653.70768120364,393187.8547321427,3,28,3,deal_hunter,high,push_coupon,0.9625
6,0,7,3,5,168571.58974753116,683201.6314186116,3,46,3,high_intent_buyer,high,bundle_related_products,0.9338
4,11,1,2,11,227960.9577308108,2296292.2975737927,1,279,2,loyal_member,medium,reengage_catalog,0.9679
10,1,2,0,0,132609.12624803465,58458.198730202814,1,51,0,category_browser,medium,reengage_catalog,0.2829
1,9,6,2,12,251256.69966753194,3324487.353640493,6,410,2,loyal_member,high,reengage_catalog,0.9509
3,13,0,1,13,142260.23766895765,1771592.028784602,0,224,0,loyal_member,medium,reengage_catalog,0.99
7,17,1,1,5,126626.97042375816,998196.1124829608,2,98,1,high_intent_buyer,medium,bundle_related_products,0.99
5,4,6,5,0,45000.0,0.0,6,0,0,deal_hunter,high,push_coupon,0.8734
4,2,1,5,14,290981.00692766457,4139491.309291444,5,459,4,loyal_member,high,reengage_catalog,0.9639
2,8,0,1,7,215774.72038388916,1601013.0840591975,6,267,0,loyal_member,high,reengage_catalog,0.9468
3,9,4,2,4,174757.8048056804,751352.798229012,6,140,2,high_intent_buyer,high,bundle_related_products,0.99
7,6,1,1,14,290233.9457708924,3903068.6115514464,0,499,1,loyal_member,low,reengage_catalog,0.9787
5,8,6,3,5,75576.6727123787,350433.04192727775,6,86,1,deal_hunter,high,push_coupon,0.99
11,11,3,2,4,130103.46628956136,419856.3083363591,4,127,1,deal_hunter,high,push_coupon,0.99
6,1,2,0,7,190357.737712678,1459828.6455478233,5,226,2,loyal_member,high,reengage_catalog,0.9744
6,5,4,4,14,255763.69530681003,3675660.485480231,6,537,0,loyal_member,high,upsell_membership,0.99
10,7,0,5,13,216284.54238630054,2715739.1391628888,4,408,3,loyal_member,high,reengage_catalog,0.99
0,0,2,4,2,49224.357282409066,225782.89939998195,5,20,0,deal_hunter,high,push_coupon,0.8605
11,6,7,5,14,265330.97908877244,3741786.754465664,2,494,0,loyal_member,medium,reengage_catalog,0.9842
1,9,1,3,3,78340.93700561617,129196.10824775796,6,72,0,deal_hunter,high,push_coupon,0.918
11,17,4,2,1,188784.8741096385,309401.68529902765,0,0,2,high_intent_buyer,medium,bundle_related_products,0.8953
8,12,7,2,14,200886.21232935644,2623606.848056229,2,387,3,loyal_member,medium,reengage_catalog,0.973
0,5,5,1,10,188838.19309785464,1948549.0301181641,6,244,2,loyal_member,high,reengage_catalog,0.99
6,3,5,4,1,69041.36100630827,105644.56563493836,2,25,2,high_intent_buyer,high,bundle_related_products,0.99
11,4,3,0,8,86710.61787187507,521722.38076416636,1,66,4,high_intent_buyer,high,bundle_related_products,0.99
2,16,3,5,3,201183.84057382485,1037270.8060764067,0,190,3,high_intent_buyer,medium,bundle_related_products,0.9677
1,8,2,0,3,108218.16392448338,694229.5993078626,3,111,0,high_intent_buyer,high,bundle_related_products,0.8495
6,6,4,5,5,205925.00795529713,822923.8768594153,0,167,0,high_intent_buyer,medium,bundle_related_products,0.99
0,16,7,0,10,172109.20957644668,1655437.7000292493,3,239,1,loyal_member,high,reengage_catalog,0.9839
11,1,1,5,4,149117.24111715914,656780.6101798961,2,33,4,high_intent_buyer,medium,bundle_related_products,0.99
8,17,1,4,8,235601.6589086329,1949590.0852907766,5,220,4,loyal_member,high,reengage_catalog,0.99
11,15,2,3,5,191017.72792660588,1190866.4623935246,3,138,3,high_intent_buyer,high,bundle_related_products,0.8851
5,9,6,2,4,175180.06820277718,900521.5163967898,2,147,0,high_intent_buyer,medium,bundle_related_products,0.99
8,8,1,5,12,180159.31989384964,2235865.8369678953,4,336,1,loyal_member,high,reengage_catalog,0.99
9,4,3,3,9,117459.93140787043,1246344.301351259,6,165,0,loyal_member,high,reengage_catalog,0.99
11,1,1,1,2,174074.87675573226,452429.4561359509,3,81,3,deal_hunter,high,push_coupon,0.7474
6,16,6,3,9,264351.5527959642,2598029.167279033,6,261,0,loyal_member,high,reengage_catalog,0.99
4,8,4,5,12,198052.5612979728,2343125.3232493363,2,279,0,loyal_member,medium,reengage_catalog,0.99
2,13,1,4,2,210663.29105171358,526072.1066550729,3,129,0,high_intent_buyer,high,bundle_related_products,0.9822
9,3,6,0,8,203032.17363502723,1610905.5837639628,3,270,2,loyal_member,high,reengage_catalog,0.8803
1,9,4,2,13,234832.54227112627,2830313.3807286005,2,311,1,loyal_member,medium,reengage_catalog,0.99
7,1,4,5,0,133138.89082921183,0.0,3,34,0,deal_hunter,high,push_coupon,0.9716
8,12,5,4,13,208718.45595221897,3081274.1822648174,2,428,3,loyal_member,medium,reengage_catalog,0.99
5,13,6,4,13,168043.24275769235,2258115.1086523985,6,302,4,loyal_member,high,reengage_catalog,0.99
0,14,3,2,7,87780.78378833404,631983.1440298724,1,59,0,high_intent_buyer,high,bundle_related_products,0.99
1,14,1,5,10,315279.9312623992,2919657.2465568627,1,412,0,loyal_member,low,reengage_catalog,0.99
4,5,2,3,2,178146.89462614956,480711.3140968649,6,113,0,deal_hunter,high,push_coupon,0.9882
9,9,6,0,5,141103.88014943406,701889.7566950668,1,120,2,high_intent_buyer,medium,bundle_related_products,0.9555
1,1,3,2,3,101745.29782162001,419152.2171434283,5,4,2,deal_hunter,high,push_coupon,0.824
3,4,2,2,2,148354.6408600583,376504.39229127235,1,82,1,high_intent_buyer,medium,bundle_related_products,0.917
2,6,1,1,5,205147.0608803208,1169032.1433318993,0,203,1,high_intent_buyer,medium,bundle_related_products,0.9224
6,15,0,5,5,157665.40855631267,478802.1250674645,3,78,4,deal_hunter,high,push_coupon,0.8891
5,17,6,5,7,244338.34714663564,1902131.6038691206,5,270,0,loyal_member,high,reengage_catalog,0.9146
5,9,3,2,6,233981.38621194637,1217515.8218379118,3,230,0,loyal_member,high,reengage_catalog,0.9612
2,15,0,5,11,288400.2755698935,3130659.059588692,6,336,1,loyal_member,high,reengage_catalog,0.99
8,5,6,3,9,97059.40408400912,745016.2220438092,6,111,1,high_intent_buyer,high,bundle_related_products,0.99
2,3,5,0,9,174899.17232371762,1353946.3767372104,6,89,3,loyal_member,high,reengage_catalog,0.96
8,3,1,4,14,198437.81122710978,2800517.247105795,1,317,3,loyal_member,medium,reengage_catalog,0.9541
5,4,7,1,5,183913.2757484581,1036320.8865476839,6,206,2,high_intent_buyer,high,bundle_related_products,0.99
9,15,4,4,8,110052.0396037603,678434.0290129359,2,112,0,high_intent_buyer,high,bundle_related_products,0.99
4,19,7,0,3,156583.57680865828,557783.1297902054,1,111,0,high_intent_buyer,medium,bundle_related_products,0.9845
4,14,1,2,3,110825.2789751557,259591.38172491826,1,21,2,high_intent_buyer,high,bundle_related_products,0.927
6,12,5,4,2,184889.61304387756,421115.1694996923,6,10,4,deal_hunter,high,push_coupon,0.99
11,14,0,4,14,289549.689513592,3826213.469295156,0,425,0,loyal_member,low,reengage_catalog,0.99
2,5,1,4,3,143890.949086074,477787.8973526738,6,75,1,deal_hunter,high,push_coupon,0.9741
3,2,0,5,7,345283.4556628481,2132666.3273477647,2,287,1,loyal_member,low,reengage_catalog,0.9691
1,3,6,3,6,244652.86170798287,1498704.5490908064,5,205,4,loyal_member,high,reengage_catalog,0.9056
0,4,4,0,12,142906.8340337163,1581958.827347742,6,203,3,loyal_member,high,reengage_catalog,0.9858
1,15,1,5,1,208560.048944452,209885.15453772031,5,0,2,deal_hunter,high,push_coupon,0.9071
0,16,1,4,9,230661.6706181292,1837218.101887484,2,198,2,loyal_member,medium,reengage_catalog,0.99
6,11,6,2,12,182136.85172158384,2389303.463659752,5,341,3,loyal_member,high,reengage_catalog,0.9845
3,10,6,1,5,78210.13607674939,511338.11491741997,5,113,4,high_intent_buyer,high,bundle_related_products,0.99
4,7,2,3,9,260526.43021602777,2233343.943691466,3,294,2,loyal_member,high,reengage_catalog,0.99
1,5,4,4,9,107107.11935978074,985583.8265369199,2,167,1,high_intent_buyer,high,bundle_related_products,0.99
2,6,1,3,4,130069.16962644627,475380.6070116948,4,51,1,deal_hunter,high,push_coupon,0.9411
3,11,4,2,7,220211.75126308174,1455351.6663837193,0,221,0,loyal_member,medium,reengage_catalog,0.99
4,18,6,0,5,166461.25210073666,611194.415485502,5,31,3,high_intent_buyer,high,bundle_related_products,0.99
3,4,4,3,6,310603.3602514537,1585585.826286781,5,183,0,loyal_member,high,reengage_catalog,0.9544
5,14,0,3,5,188025.4364233415,1244592.3760805745,5,94,2,loyal_member,high,reengage_catalog,0.99
3,4,0,5,12,84834.49779530363,1120572.4886468393,5,80,0,high_intent_buyer,high,bundle_related_products,0.9573
2,18,5,5,12,243346.01358597894,2706010.9772199322,2,279,0,loyal_member,medium,reengage_catalog,0.9441
4,1,0,5,1,160368.21958724922,9883.385107054579,0,38,2,high_intent_buyer,medium,bundle_related_products,0.8592
0,12,3,5,4,158209.36896621872,402120.87816247286,4,36,2,deal_hunter,high,push_coupon,0.99
2,9,0,1,6,186124.27361689613,1054564.3327306858,5,171,1,high_intent_buyer,high,bundle_related_products,0.99
8,6,7,4,9,163265.19957423565,1519597.8393852604,5,142,1,loyal_member,high,reengage_catalog,0.99
5,13,5,5,1,123889.86884047286,299760.5177281229,2,11,2,high_intent_buyer,medium,bundle_related_products,0.99
5,12,1,3,13,150308.9825846112,1829599.8251602228,0,237,3,loyal_member,medium,reengage_catalog,0.9576
9,8,0,2,6,226316.9827525698,1211061.3305286164,0,204,3,loyal_member,medium,reengage_catalog,0.9812
